City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atar,MR,89.94,overcast clouds,20.52,-13.05,Oumou Elghoura
6,Filingue,NE,89.47,few clouds,14.35,3.32,
8,Akyab,MM,77.86,overcast clouds,20.15,92.9,Hotel Memory
9,Tautira,PF,80.6,shower rain,-17.73,-149.15,Pension Oaoa
11,Boa Vista,BR,82.4,shower rain,2.82,-60.67,Aipana Plaza Hotel
12,Comodoro Rivadavia,AR,80.6,clear sky,-45.87,-67.5,Austral Hotel
14,Saldanha,ZA,78.8,clear sky,-33.01,17.94,Blue Bay Lodge
20,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
28,Samarai,PG,81.09,few clouds,-10.62,150.67,Nuli Sapi
29,Atambua,ID,75.29,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
33,Bathsheba,BB,86.0,shower rain,13.22,-59.52,Atlantis Hotel
34,Hambantota,LK,79.63,few clouds,6.12,81.12,Bungalow 63
35,Noumea,NC,77.0,broken clouds,-22.28,166.46,Hôtel Le Lagon
41,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
46,Butaritari,KI,81.68,broken clouds,3.07,172.79,Isles Sunset Lodge
48,San Cristobal,VE,82.4,scattered clouds,7.77,-72.22,Pirineos
49,Luanda,AO,78.8,few clouds,-8.84,13.23,EPIC SANA Luanda
53,Puerto Madryn,AR,86.97,clear sky,-42.77,-65.04,Hotel Tolosa
58,Bonthe,SL,81.82,scattered clouds,7.53,-12.51,Bonthe Holiday Village
60,Cabo San Lucas,MX,88.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
62,Biak,ID,77.56,overcast clouds,-0.91,122.88,Kost Ariz
73,Eydhafushi,MV,82.69,few clouds,5.1,73.07,Soneva Fushi
74,Pitimbu,BR,86.0,scattered clouds,-7.47,-34.81,Reserva do Abiaí
79,Todos Santos,MX,82.99,clear sky,23.45,-110.22,Hotel California Todos Santos
80,Faanui,PF,79.21,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
85,Colon,PA,81.0,overcast clouds,9.36,-79.9,Sand Diamond Hotel
89,Cayenne,GF,87.8,light rain,4.93,-52.33,Hôtel Le Dronmi
90,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
91,Umm Kaddadah,SD,88.0,clear sky,13.6,26.69,
92,Acarau,BR,87.01,few clouds,-2.89,-40.12,castelo pizzaria
99,Hilo,US,75.99,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
101,Kandrian,PG,78.24,moderate rain,-6.22,149.55,Kandrian Station
106,San Patricio,US,80.01,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
112,Ixtapa,MX,84.99,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
113,Hirara,JP,76.53,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
116,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
124,San Vicente,AR,78.39,scattered clouds,-26.62,-54.13,Complejo Turístico Farelluk
131,Alvarado,MX,82.99,light rain,18.77,-95.77,Del Pastor
133,Santiago Del Estero,AR,85.98,clear sky,-27.8,-64.26,Hotel Urbano
135,Lorengau,PG,82.62,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
137,Buritis,BR,84.54,moderate rain,-15.62,-46.42,Hotel Rainha do Vale
146,Dingle,PH,75.38,heavy intensity rain,11.0,122.67,Camp Pasica
147,Mecca,SA,80.73,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
148,Le Vauclin,MQ,80.01,overcast clouds,14.55,-60.84,Hôtel Cap Macabou
153,San Policarpo,PH,77.9,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
154,Qui Nhon,VN,76.6,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
160,Bontang,ID,76.86,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
162,Gat,IL,75.99,light rain,31.61,34.76,OlusHome
170,Lalmohan,BD,78.66,overcast clouds,22.34,90.74,Sundorbon courier service
175,San Quintin,MX,77.02,clear sky,30.48,-115.95,Old Mill Hotel
177,Keti Bandar,PK,80.28,clear sky,24.14,67.45,Haji laloo memon house
183,Guanica,PR,90.0,overcast clouds,17.97,-66.91,Copamarina Beach Resort & Spa
185,Maragogi,BR,81.27,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
187,Monrovia,LR,80.8,scattered clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
191,Olinda,BR,86.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
193,Kampot,KH,77.0,few clouds,10.62,104.18,Champa Lodge
194,Barra,BR,82.67,light rain,-11.09,-43.14,Pousada Bahia
196,Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
197,Atuona,PF,77.85,light rain,-9.8,-139.03,Villa Enata
205,Sisophon,KH,76.23,broken clouds,13.59,102.97,Pyramid Hotel
207,Tessalit,ML,82.38,broken clouds,20.2,1.01,
214,Guarapari,BR,77.0,broken clouds,-20.67,-40.5,Hotel Porto do Sol
231,Caborca,MX,87.89,broken clouds,30.58,-111.1,Hotel Los Lagos
233,Gamba,GA,76.05,overcast clouds,-2.65,10.0,
235,Kahului,US,75.0,few clouds,20.89,-156.47,Maui Seaside Hotel
253,Adrar,MR,85.46,overcast clouds,20.5,-10.07,
256,Puro,PH,79.03,broken clouds,12.48,123.38,
262,Cabedelo,BR,86.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
