,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atar,MR,20.52,-13.05,89.94,12,99,11.39,overcast clouds
1,Mar Del Plata,AR,-38.0,-57.56,69.8,49,20,9.17,few clouds
2,Lebu,CL,-37.62,-73.65,58.77,76,8,7.47,clear sky
3,Ushuaia,AR,-54.8,-68.3,59.0,54,75,4.7,light rain
4,Nuuk,GL,64.18,-51.72,24.8,73,100,2.24,light snow
5,Bluff,NZ,-46.6,168.33,48.0,76,78,3.0,broken clouds
6,Filingue,NE,14.35,3.32,89.47,12,18,7.38,few clouds
7,Cape Town,ZA,-33.93,18.42,66.99,77,0,17.22,clear sky
8,Akyab,MM,20.15,92.9,77.86,87,98,7.94,overcast clouds
9,Tautira,PF,-17.73,-149.15,80.6,74,75,2.24,shower rain
10,Yumen,CN,40.28,97.2,30.27,88,0,3.09,clear sky
11,Boa Vista,BR,2.82,-60.67,82.4,69,75,16.11,shower rain
12,Comodoro Rivadavia,AR,-45.87,-67.5,80.6,36,0,5.82,clear sky
13,Broome,US,42.25,-75.83,46.99,87,90,13.87,mist
14,Saldanha,ZA,-33.01,17.94,78.8,24,0,6.93,clear sky
15,Vaini,TO,-21.2,-175.2,73.4,88,75,8.05,broken clouds
16,Nishihara,JP,26.18,127.76,71.6,78,20,3.36,few clouds
17,Penzance,GB,50.12,-5.54,57.2,100,90,31.09,overcast clouds
18,Tuktoyaktuk,CA,69.45,-133.04,3.2,91,75,6.93,broken clouds
19,Westport,US,41.14,-73.36,54.0,84,100,1.01,moderate rain
20,Puerto Ayora,EC,-0.74,-90.35,77.0,69,75,19.46,broken clouds
21,Albany,US,42.6,-73.97,51.01,71,99,4.0,overcast clouds
22,Airai,TL,-8.93,125.41,60.64,86,85,1.9,overcast clouds
23,Bilibino,RU,68.05,166.44,4.59,83,100,0.92,overcast clouds
24,Bethel,US,41.37,-73.41,52.0,85,100,1.01,light rain
25,Portland,US,45.52,-122.68,57.99,67,0,1.01,clear sky
26,Provideniya,RU,64.38,-173.3,21.87,86,0,2.3,clear sky
27,Saskylakh,RU,71.92,114.08,-10.8,87,77,10.02,broken clouds
28,Samarai,PG,-10.62,150.67,81.09,83,24,7.36,few clouds
29,Atambua,ID,-9.11,124.89,75.29,79,69,2.84,broken clouds
30,Fairbanks,US,64.84,-147.72,-0.99,75,1,0.74,clear sky
31,Klaksvik,FO,62.23,-6.59,44.6,93,74,6.93,light rain
32,Ilulissat,GL,69.22,-51.1,19.4,57,100,11.41,overcast clouds
33,Bathsheba,BB,13.22,-59.52,86.0,74,75,17.22,shower rain
34,Hambantota,LK,6.12,81.12,79.63,83,14,9.46,few clouds
35,Noumea,NC,-22.28,166.46,77.0,57,75,4.7,broken clouds
36,Hamilton,US,39.18,-84.53,52.0,39,15,5.99,few clouds
37,Saint-Louis,SN,16.33,-15.0,96.01,10,52,4.36,broken clouds
38,Cidreira,BR,-30.18,-50.21,66.6,63,25,10.18,scattered clouds
39,Leningradskiy,RU,69.38,178.42,13.62,82,63,5.91,broken clouds
40,Carnarvon,AU,-24.87,113.63,68.0,68,40,17.22,scattered clouds
41,Georgetown,MY,5.41,100.34,80.6,88,20,2.24,few clouds
42,Saint-Philippe,RE,-21.36,55.77,69.8,64,20,6.93,few clouds
43,Brovst,DK,57.1,9.53,53.01,90,100,8.01,light rain
44,Busselton,AU,-33.65,115.33,53.01,95,90,6.78,overcast clouds
45,Sakata,JP,38.92,139.85,57.61,57,100,7.0,moderate rain
46,Butaritari,KI,3.07,172.79,81.68,77,62,9.17,broken clouds
47,East London,ZA,-33.02,27.91,62.6,88,75,10.29,broken clouds
48,San Cristobal,VE,7.77,-72.22,82.4,65,40,4.7,scattered clouds
49,Luanda,AO,-8.84,13.23,78.8,83,20,10.29,few clouds
50,Kapaa,US,22.08,-159.32,66.2,100,20,8.05,few clouds
51,Yellowknife,CA,62.46,-114.35,17.01,92,90,8.05,light snow
52,College,US,64.86,-147.8,-0.99,75,20,0.83,few clouds
53,Puerto Madryn,AR,-42.77,-65.04,86.97,16,0,22.17,clear sky
54,Barrow,US,71.29,-156.79,26.6,79,90,12.75,snow
55,Punta Arenas,CL,-53.15,-70.92,59.0,58,75,9.17,broken clouds
56,Jining,CN,35.41,116.58,51.85,42,20,2.35,few clouds
57,Saint-Pierre,RE,-21.34,55.48,69.8,64,20,6.93,few clouds
58,Bonthe,SL,7.53,-12.51,81.82,75,49,7.81,scattered clouds
59,Pangnirtung,CA,66.15,-65.71,17.6,67,75,8.05,shower rain
60,Cabo San Lucas,MX,22.89,-109.91,88.0,40,3,7.0,clear sky
61,Rikitea,PF,-23.12,-134.97,74.93,84,42,15.64,light rain
62,Biak,ID,-0.91,122.88,77.56,74,97,5.57,overcast clouds
63,Dikson,RU,73.51,80.55,21.16,98,98,7.63,overcast clouds
64,Isla Vista,US,34.41,-119.86,73.0,60,1,5.82,clear sky
65,Khatanga,RU,71.97,102.5,0.84,92,98,4.47,overcast clouds
66,Port Hardy,CA,50.7,-127.42,48.2,76,75,9.17,broken clouds
