City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2020-10-31 18:35:06,22.08,-159.32,75.2,83,1,5.82
1,Cape Town,ZA,2020-10-31 18:32:23,-33.93,18.42,64.4,59,0,18.34
2,Atuona,PF,2020-10-31 18:35:07,-9.8,-139.03,78.35,75,10,18.9
3,Albany,US,2020-10-31 18:31:22,42.6,-73.97,44.01,68,0,5.39
4,Mahebourg,MU,2020-10-31 18:35:07,-20.41,57.7,68.0,77,20,6.93
5,Jamestown,US,2020-10-31 18:35:08,42.1,-79.24,43.0,69,90,13.87
6,General Roca,AR,2020-10-31 18:31:09,-39.03,-67.58,86.0,19,0,11.41
7,Villarrica,PY,2020-10-31 18:35:08,-25.75,-56.43,83.16,40,0,9.53
8,Muscat,OM,2020-10-31 18:32:00,23.61,58.59,75.2,69,0,5.82
9,Katsuura,JP,2020-10-31 18:30:24,35.13,140.3,51.8,76,0,9.17
10,Thompson,CA,2020-10-31 18:35:09,55.74,-97.86,17.6,72,90,16.11
11,Mataura,NZ,2020-10-31 18:32:44,-46.19,168.86,48.99,77,8,5.01
12,Rikitea,PF,2020-10-31 18:35:10,-23.12,-134.97,75.22,70,0,7.52
13,Mazara Del Vallo,IT,2020-10-31 18:35:10,37.66,12.59,64.4,88,0,2.24
14,Butaritari,KI,2020-10-31 18:35:10,3.07,172.79,81.39,75,100,16.33
15,Vaini,TO,2020-10-31 18:35:10,-21.2,-175.2,73.4,88,75,9.17
16,Kahului,US,2020-10-31 18:31:11,20.89,-156.47,80.6,61,1,2.62
17,New Norfolk,AU,2020-10-31 18:35:11,-42.78,147.06,55.4,66,90,6.93
18,Huarmey,PE,2020-10-31 18:35:11,-10.07,-78.15,69.04,66,100,9.28
19,Port Hedland,AU,2020-10-31 18:35:11,-20.32,118.57,75.2,88,0,10.29
20,Busselton,AU,2020-10-31 18:35:12,-33.65,115.33,61.0,76,100,5.39
21,Gilgit,PK,2020-10-31 18:35:12,35.92,74.31,52.57,35,0,3.22
22,Almeirim,BR,2020-10-31 18:35:12,-1.52,-52.58,97.29,27,30,8.1
23,Provideniya,RU,2020-10-31 18:32:59,64.38,-173.3,21.15,87,99,6.71
24,Lewistown,US,2020-10-31 18:35:13,40.6,-77.57,44.6,56,90,3.36
25,Pangnirtung,CA,2020-10-31 18:33:32,66.15,-65.71,19.4,52,75,3.36
26,Pangkalanbuun,ID,2020-10-31 18:35:13,-2.68,111.62,73.58,98,75,1.52
27,Newtownards,GB,2020-10-31 18:35:13,54.59,-5.69,48.99,70,0,18.34
28,Zigong,CN,2020-10-31 18:35:14,29.34,104.78,59.05,76,100,3.8
29,Arraial Do Cabo,BR,2020-10-31 18:35:14,-22.97,-42.03,71.6,88,75,11.41
30,Hermanus,ZA,2020-10-31 18:35:15,-34.42,19.23,57.99,75,0,3.0
31,Esperance,AU,2020-10-31 18:33:35,-33.87,121.9,71.6,28,100,13.87
32,Mar Del Plata,AR,2020-10-31 18:34:42,-38.0,-57.56,66.2,59,0,14.99
33,Saraland,US,2020-10-31 18:35:16,30.82,-88.07,73.0,66,0,3.24
34,Capreol,CA,2020-10-31 18:30:31,46.71,-80.92,36.0,64,90,11.41
35,Kattivakkam,IN,2020-10-31 18:35:17,13.22,80.32,77.0,94,20,4.18
